City,Country,Temperature (F),Date,Humidity %,Cloud,Wind Speed,Lat,Lng
Busselton,AU,57.24,1613157827,89,0,11.54,-33.65,115.3333
Lompoc,US,54.23,1613157828,62,20,17.27,34.6391,-120.4579
Nikolskoye,RU,0.68,1613157829,78,75,6.71,59.7035,30.7861
Adavere,EE,6.93,1613157830,85,90,3.44,58.7086,25.8994
Alofi,NU,78.8,1613157831,94,99,6.91,-19.0595,-169.9187
Santiago,CL,80.2,1613157536,50,40,5.75,-33.4569,-70.6483
Muisne,EC,84.2,1613157839,84,40,4.61,0.6,-80.0333
Cape Town,ZA,70.54,1613157542,83,20,19.57,-33.9258,18.4232
Mataura,NZ,50.0,1613157842,94,98,1.99,-46.1927,168.8643
Albany,US,17.8,1613157843,34,100,5.21,42.6001,-73.9662
Zittau,DE,15.66,1613157846,92,0,7.0,50.9,14.8333
Ushuaia,AR,60.8,1613157680,41,20,21.85,-54.8,-68.3
Vaini,TO,80.6,1613157856,89,40,5.75,-21.2,-175.2
Punta Arenas,CL,59.0,1613157736,41,0,19.57,-53.15,-70.9167
Morrisburg,CA,6.71,1613157862,47,20,8.05,44.9001,-75.1826
Arraial do Cabo,BR,82.11,1613157666,74,90,20.71,-22.9661,-42.0278
Port Alfred,ZA,73.0,1613157864,93,73,5.99,-33.5906,26.891
Torquay,GB,34.27,1613157868,60,49,1.01,50.4638,-3.5143
Ponta do Sol,PT,57.58,1613157869,74,9,1.99,32.6667,-17.1
Puerto Ayora,EC,81.59,1613157874,74,20,6.91,-0.7393,-90.3518
Sørkjosen,NO,28.4,1613157875,64,40,18.41,69.8,20.9333
Longyearbyen,SJ,10.4,1613157876,79,90,17.27,78.2186,15.6401
Yangi Marg`ilon,UZ,48.2,1613157877,49,100,4.61,40.4272,71.7189
Hermanus,ZA,72.0,1613157882,81,23,2.66,-34.4187,19.2345
Port Elizabeth,ZA,73.4,1613157885,94,75,20.71,-33.918,25.5701
Halifax,CA,26.4,1613157751,74,75,14.97,44.6453,-63.5724
General José Eduvigis Díaz,PY,87.8,1613157849,40,20,9.22,-27.1667,-58.4167
Sainte-Claire,CA,7.32,1613157890,63,100,5.01,46.6006,-70.8649
Görele,TR,46.4,1613157891,93,75,24.16,41.0308,39.0031
Pemberton,CA,9.18,1613157893,37,20,5.75,50.3164,-122.8027
Avarua,CK,82.4,1613157895,74,9,2.3,-21.2078,-159.775
Puri,IN,71.6,1613157898,88,100,1.14,19.8,85.85
Tasiilaq,GL,30.2,1613157901,74,90,28.77,65.6145,-37.6368
Port Hawkesbury,CA,27.54,1613157902,93,90,12.66,45.6169,-61.3485
Liepāja,LV,19.4,1613157903,93,90,2.3,56.5419,21.0367
Mabaruma,GY,77.0,1613157905,88,75,13.8,8.2,-59.7833
Rock Island,US,3.22,1613157611,61,1,13.8,41.45,-90.5168
